Name;Sex;Birth;Adress;Phone;E-mail;SNS number;CC number
AndrÃ© Veiga;Male;11/09/2002;Rua Geral;912422194;andre@gmail.com;161166413;15467761
Carlos SimÃµes;Male;12/10/1998;Rua B;976053078;carlos@outlook.pt;283202876;18710254
Maria JoÃ£o;Female;12/12/2001;Avenida 48;961515612;mary@gmail.com;192212129;21952743
Mauro Santos;Male;01/02/2005;Rua Java;916545646;ms@outlook.pt;243239521;25195232
Sara Jorge;;30/03/1988;Avenida 13Âº;961568979;sara@gmail.com;258762378;28437721
Ana Damas;Female;27/06/1965;Rua Humberto;985432056;ana.damas@gmail.com;274285236;21680210
Vitor Hugo Cavalcanti;Masculino;25/02/1952;Rua São João do Porto|222|4150-385|PORTO;953224331;953224331@gmail.com;161593120;10095830
Augusto Ramos;Masculino;24/05/1951;Rua  Grupo 10 de Maio|210|4200-315|PORTO;953224332;953224332@gmail.com;161593121;10095831
Diogo Pereira;Masculino;13/06/1951;Rua  Almoster|188|4350-28|PORTO;953224333;953224333@gmail.com;161593122;10095832
Vitor Santos;Masculino;22/02/1950;Rua  Agostinho Ricca|145|4250-159|PORTO;953224334;953224334@gmail.com;161593123;10095833
Luiz Felipe Silveira;Masculino;30/05/1953;Rua  Guadiana|487|4200-316|PORTO;953224335;953224335@gmail.com;161593124;10095834
Dr. Thomas Melo;Masculino;11/06/1954;Rua  Guedes de Azevedo|237|4000-271|PORTO;953224336;953224336@gmail.com;161593125;10095835
Clarice da Paz;Feminino;18/03/1951;Rua  Guedes de Azevedo|304|4000-273|PORTO;953224337;953224337@gmail.com;161593126;10095836
Luigi Nogueira;;21/07/1954;Rua  Guedes de Azevedo|273|4000-272|PORTO;953224338;953224338@gmail.com;161593127;10095837
Gabriel Farias;;06/05/1954;Rua  Guedes de Azevedo|248|4000-271|PORTO;953224339;953224339@gmail.com;161593128;10095838
Augusto Farias;;11/12/1953;Rua  Guedes de Azevedo|90|4049-8|PORTO;953224340;953224340@gmail.com;161593129;10095839
Thomas Nascimento;;22/12/1946;Rua  Guerra Junqueiro|84|4150-387|PORTO;953224341;953224341@gmail.com;161593130;10095840
Sra. Lorena Silveira;Feminino;26/12/1953;Rua  Guerra Junqueiro|178|4150-388|PORTO;953224342;953224342@gmail.com;161593131;10095841
Gustavo Henrique da Rosa;;14/12/1950;Rua  Guerra Junqueiro|592|4150-389|PORTO;953224343;953224343@gmail.com;161593132;10095842
Isabel Moreira;Feminino;16/01/1952;Rua  Guerra Junqueiro|341|4150-386|PORTO;953224344;953224344@gmail.com;161593133;10095843
Felipe Gonçalves;;31/12/1952;Rua  Guerra Junqueiro|268|4150-387|PORTO;953224345;953224345@gmail.com;161593134;10095844
Breno da Paz;;24/09/1952;Rua  Guerra Junqueiro|364|4169-9|PORTO;953224346;953224346@gmail.com;161593135;10095845
Natália da Cruz;;15/01/1949;Rua  Guilherme Braga|418|4150-391|PORTO;953224347;953224347@gmail.com;161593136;10095846
Miguel Teixeira;;29/12/1952;Rua  Guilherme Braga|406|4150-390|PORTO;953224348;953224348@gmail.com;161593137;10095847
Bruno Pinto;;27/07/1948;Rua  Guilherme Costa Carvalho|334|4000-274|PORTO;953224349;953224349@gmail.com;161593138;10095848
João Felipe Rezende;;10/10/1955;Praça  Guilherme Gomes Fernandes|135|4050-293|PORTO;953224350;953224350@gmail.com;161593139;10095849
Ana Júlia Ramos;Feminino;04/01/1957;Praça  Guilherme Gomes Fernandes|41|4050-294|PORTO;953224351;953224351@gmail.com;161593140;10095850
Vitor Silveira;;06/11/1953;Rua  Guilhermina Suggia|194|4200-318|PORTO;953224352;953224352@gmail.com;161593141;10095851
Daniela da Rosa;;16/11/1948;Escadas  Guindais|493|4000-277|PORTO;953224353;953224353@gmail.com;161593142;10095852
